# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 10 31 0000  292.274745  2.396126  111.301097
2016 11 01 0000  292.276936  2.395785  111.284135
2016 11 02 0000  292.279278  2.395447  111.267086
2016 11 03 0000  292.281768  2.395110  111.249947
2016 11 04 0000  292.284406  2.394775  111.232711
2016 11 05 0000  292.287192  2.394442  111.215374
2016 11 06 0000  292.290125  2.394111  111.197931
2016 11 07 0000  292.293203  2.393782  111.180375
2016 11 08 0000  292.296425  2.393456  111.162704
2016 11 09 0000  292.299790  2.393132  111.144911
2016 11 10 0000  292.303298  2.392811  111.126993
2016 11 11 0000  292.306947  2.392493  111.108944
2016 11 12 0000  292.310736  2.392177  111.090760
2016 11 13 0000  292.314663  2.391864  111.072437
2016 11 14 0000  292.318728  2.391555  111.053971
2016 11 15 0000  292.322929  2.391248  111.035357
2016 11 16 0000  292.327265  2.390945  111.016592
2016 11 17 0000  292.331735  2.390645  110.997671
2016 11 18 0000  292.336339  2.390348  110.978590
2016 11 19 0000  292.341075  2.390055  110.959344
2016 11 20 0000  292.345941  2.389766  110.939929
2016 11 21 0000  292.350937  2.389480  110.920340
2016 11 22 0000  292.356061  2.389198  110.900574
2016 11 23 0000  292.361312  2.388920  110.880624
2016 11 24 0000  292.366688  2.388646  110.860488
2016 11 25 0000  292.372188  2.388375  110.840160
2016 11 26 0000  292.377811  2.388109  110.819637
2016 11 27 0000  292.383554  2.387847  110.798912
2016 11 28 0000  292.389415  2.387589  110.777984
2016 11 29 0000  292.395394  2.387336  110.756846
2016 11 30 0000  292.401488  2.387087  110.735495
2016 12 01 0000  292.407694  2.386843  110.713928
2016 12 02 0000  292.414013  2.386603  110.692139
2016 12 03 0000  292.420440  2.386367  110.670126
2016 12 04 0000  292.426974  2.386137  110.647884
2016 12 05 0000  292.433613  2.385911  110.625411
2016 12 06 0000  292.440354  2.385691  110.602702
2016 12 07 0000  292.447196  2.385475  110.579755
2016 12 08 0000  292.454136  2.385265  110.556566
2016 12 09 0000  292.461172  2.385060  110.533132
2016 12 10 0000  292.468302  2.384860  110.509452
2016 12 11 0000  292.475524  2.384665  110.485521
2016 12 12 0000  292.482834  2.384476  110.461337
2016 12 13 0000  292.490232  2.384292  110.436899
2016 12 14 0000  292.497715  2.384114  110.412203
2016 12 15 0000  292.505280  2.383942  110.387247
2016 12 16 0000  292.512927  2.383775  110.362028
2016 12 17 0000  292.520652  2.383614  110.336545
2016 12 18 0000  292.528454  2.383458  110.310794
2016 12 19 0000  292.536330  2.383309  110.284772
2016 12 20 0000  292.544279  2.383165  110.258478
2016 12 21 0000  292.552297  2.383027  110.231908
2016 12 22 0000  292.560382  2.382895  110.205060
2016 12 23 0000  292.568533  2.382769  110.177932
2016 12 24 0000  292.576746  2.382649  110.150522
2016 12 25 0000  292.585019  2.382535  110.122826
2016 12 26 0000  292.593349  2.382427  110.094844
2016 12 27 0000  292.601734  2.382326  110.066572
2016 12 28 0000  292.610171  2.382230  110.038010
2016 12 29 0000  292.618656  2.382141  110.009155
2016 12 30 0000  292.627189  2.382057  109.980006
2016 12 31 0000  292.635765  2.381981  109.950562
2017 01 01 0000  292.644382  2.381910  109.920821
2017 01 02 0000  292.653036  2.381846  109.890781
2017 01 03 0000  292.661726  2.381788  109.860443
2017 01 04 0000  292.670448  2.381737  109.829805
2017 01 05 0000  292.679200  2.381693  109.798867
2017 01 06 0000  292.687978  2.381654  109.767628
2017 01 07 0000  292.696780  2.381623  109.736088
2017 01 08 0000  292.705602  2.381598  109.704247
2017 01 09 0000  292.714444  2.381580  109.672105
2017 01 10 0000  292.723301  2.381568  109.639661
2017 01 11 0000  292.732171  2.381563  109.606916
2017 01 12 0000  292.741051  2.381564  109.573870
2017 01 13 0000  292.749940  2.381572  109.540523
2017 01 14 0000  292.758835  2.381587  109.506874
2017 01 15 0000  292.767732  2.381608  109.472924
2017 01 16 0000  292.776630  2.381636  109.438673
2017 01 17 0000  292.785525  2.381671  109.404120
2017 01 18 0000  292.794416  2.381712  109.369266
2017 01 19 0000  292.803299  2.381759  109.334111
2017 01 20 0000  292.812171  2.381813  109.298654
2017 01 21 0000  292.821031  2.381874  109.262897
2017 01 22 0000  292.829874  2.381941  109.226840
2017 01 23 0000  292.838699  2.382015  109.190483
2017 01 24 0000  292.847502  2.382095  109.153828
2017 01 25 0000  292.856280  2.382181  109.116874
2017 01 26 0000  292.865032  2.382274  109.079623
2017 01 27 0000  292.873752  2.382374  109.042076
2017 01 28 0000  292.882440  2.382480  109.004235
2017 01 29 0000  292.891092  2.382592  108.966100
2017 01 30 0000  292.899704  2.382711  108.927673
2017 01 31 0000  292.908275  2.382837  108.888956
2017 02 01 0000  292.916801  2.382969  108.849952
2017 02 02 0000  292.925280  2.383107  108.810661
2017 02 03 0000  292.933709  2.383251  108.771087
2017 02 04 0000  292.942084  2.383402  108.731232
2017 02 05 0000  292.950405  2.383559  108.691098
2017 02 06 0000  292.958667  2.383723  108.650687
2017 02 07 0000  292.966870  2.383892  108.610003
2017 02 08 0000  292.975009  2.384068  108.569047
2017 02 09 0000  292.983084  2.384250  108.527823
2017 02 10 0000  292.991091  2.384438  108.486332
2017 02 11 0000  292.999029  2.384632  108.444578
2017 02 12 0000  293.006895  2.384832  108.402562
2017 02 13 0000  293.014687  2.385038  108.360287
2017 02 14 0000  293.022402  2.385249  108.317756
2017 02 15 0000  293.030039  2.385466  108.274970
2017 02 16 0000  293.037594  2.385689  108.231934
2017 02 17 0000  293.045066  2.385918  108.188648
2017 02 18 0000  293.052452  2.386152  108.145117
2017 02 19 0000  293.059749  2.386391  108.101342
2017 02 20 0000  293.066956  2.386636  108.057328
2017 02 21 0000  293.074070  2.386887  108.013076
2017 02 22 0000  293.081088  2.387142  107.968591
2017 02 23 0000  293.088009  2.387403  107.923875
2017 02 24 0000  293.094829  2.387669  107.878932
2017 02 25 0000  293.101547  2.387940  107.833765
2017 02 26 0000  293.108160  2.388217  107.788378
2017 02 27 0000  293.114667  2.388498  107.742775
2017 02 28 0000  293.121064  2.388784  107.696961
2017 03 01 0000  293.127349  2.389075  107.650938
2017 03 02 0000  293.133522  2.389371  107.604712
2017 03 03 0000  293.139579  2.389672  107.558286
2017 03 04 0000  293.145518  2.389977  107.511666
2017 03 05 0000  293.151339  2.390287  107.464855
2017 03 06 0000  293.157038  2.390602  107.417859
2017 03 07 0000  293.162616  2.390920  107.370680
2017 03 08 0000  293.168069  2.391244  107.323325
2017 03 09 0000  293.173397  2.391571  107.275797
2017 03 10 0000  293.178598  2.391902  107.228100
2017 03 11 0000  293.183671  2.392238  107.180239
2017 03 12 0000  293.188614  2.392577  107.132217
2017 03 13 0000  293.193425  2.392920  107.084039
2017 03 14 0000  293.198104  2.393267  107.035710
2017 03 15 0000  293.202649  2.393617  106.987232
2017 03 16 0000  293.207058  2.393971  106.938611
2017 03 17 0000  293.211330  2.394329  106.889851
2017 03 18 0000  293.215464  2.394689  106.840955
2017 03 19 0000  293.219457  2.395053  106.791930
2017 03 20 0000  293.223310  2.395419  106.742778
2017 03 21 0000  293.227019  2.395789  106.693504
2017 03 22 0000  293.230585  2.396162  106.644113
2017 03 23 0000  293.234006  2.396537  106.594610
2017 03 24 0000  293.237279  2.396916  106.545000
2017 03 25 0000  293.240405  2.397296  106.495287
2017 03 26 0000  293.243382  2.397680  106.445476
2017 03 27 0000  293.246208  2.398066  106.395573
2017 03 28 0000  293.248883  2.398454  106.345582
2017 03 29 0000  293.251405  2.398844  106.295510
2017 03 30 0000  293.253774  2.399237  106.245360
2017 03 31 0000  293.255989  2.399632  106.195140
2017 04 01 0000  293.258049  2.400028  106.144853
2017 04 02 0000  293.259954  2.400427  106.094507
2017 04 03 0000  293.261703  2.400827  106.044104
2017 04 04 0000  293.263295  2.401229  105.993653
2017 04 05 0000  293.264731  2.401632  105.943156
2017 04 06 0000  293.266009  2.402037  105.892619
2017 04 07 0000  293.267130  2.402442  105.842047
2017 04 08 0000  293.268094  2.402849  105.791445
2017 04 09 0000  293.268900  2.403257  105.740818
2017 04 10 0000  293.269547  2.403666  105.690170
2017 04 11 0000  293.270037  2.404075  105.639506
2017 04 12 0000  293.270367  2.404485  105.588831
2017 04 13 0000  293.270539  2.404896  105.538149
2017 04 14 0000  293.270552  2.405307  105.487466
2017 04 15 0000  293.270405  2.405718  105.436785
2017 04 16 0000  293.270099  2.406129  105.386112
2017 04 17 0000  293.269633  2.406540  105.335452
2017 04 18 0000  293.269008  2.406951  105.284809
2017 04 19 0000  293.268222  2.407362  105.234189
2017 04 20 0000  293.267277  2.407773  105.183595
2017 04 21 0000  293.266172  2.408184  105.133034
2017 04 22 0000  293.264906  2.408594  105.082510
2017 04 23 0000  293.263481  2.409003  105.032028
2017 04 24 0000  293.261896  2.409412  104.981594
2017 04 25 0000  293.260152  2.409820  104.931213
2017 04 26 0000  293.258248  2.410227  104.880889
2017 04 27 0000  293.256185  2.410633  104.830628
2017 04 28 0000  293.253964  2.411038  104.780437
2017 04 29 0000  293.251585  2.411441  104.730319
2017 04 30 0000  293.249049  2.411844  104.680280
2017 05 01 0000  293.246357  2.412245  104.630325
2017 05 02 0000  293.243509  2.412644  104.580458
2017 05 03 0000  293.240507  2.413042  104.530686
2017 05 04 0000  293.237352  2.413437  104.481011
2017 05 05 0000  293.234044  2.413831  104.431438
2017 05 06 0000  293.230585  2.414223  104.381973
2017 05 07 0000  293.226975  2.414612  104.332618
2017 05 08 0000  293.223215  2.414999  104.283379
2017 05 09 0000  293.219307  2.415384  104.234259
2017 05 10 0000  293.215252  2.415766  104.185262
2017 05 11 0000  293.211050  2.416146  104.136393
2017 05 12 0000  293.206702  2.416522  104.087656
2017 05 13 0000  293.202210  2.416896  104.039055
2017 05 14 0000  293.197574  2.417267  103.990593
2017 05 15 0000  293.192796  2.417635  103.942275
2017 05 16 0000  293.187876  2.417999  103.894106
2017 05 17 0000  293.182816  2.418361  103.846088
2017 05 18 0000  293.177617  2.418719  103.798227
2017 05 19 0000  293.172281  2.419073  103.750526
2017 05 20 0000  293.166807  2.419424  103.702989
2017 05 21 0000  293.161198  2.419772  103.655621
2017 05 22 0000  293.155455  2.420116  103.608426
2017 05 23 0000  293.149580  2.420456  103.561408
2017 05 24 0000  293.143573  2.420792  103.514571
2017 05 25 0000  293.137437  2.421124  103.467920
2017 05 26 0000  293.131172  2.421453  103.421458
2017 05 27 0000  293.124782  2.421777  103.375191
2017 05 28 0000  293.118268  2.422096  103.329120
2017 05 29 0000  293.111632  2.422412  103.283252
2017 05 30 0000  293.104875  2.422723  103.237588
2017 05 31 0000  293.098001  2.423029  103.192132
2017 06 01 0000  293.091010  2.423331  103.146888
2017 06 02 0000  293.083906  2.423628  103.101858
2017 06 03 0000  293.076690  2.423920  103.057045
2017 06 04 0000  293.069364  2.424207  103.012452
2017 06 05 0000  293.061930  2.424489  102.968083
2017 06 06 0000  293.054390  2.424766  102.923939
2017 06 07 0000  293.046747  2.425038  102.880023
2017 06 08 0000  293.039002  2.425304  102.836338
2017 06 09 0000  293.031156  2.425565  102.792887
2017 06 10 0000  293.023214  2.425821  102.749672
2017 06 11 0000  293.015175  2.426071  102.706696
2017 06 12 0000  293.007042  2.426315  102.663960
2017 06 13 0000  292.998818  2.426554  102.621469
2017 06 14 0000  292.990505  2.426788  102.579224
2017 06 15 0000  292.982103  2.427015  102.537227
2017 06 16 0000  292.973617  2.427237  102.495482
2017 06 17 0000  292.965047  2.427453  102.453990
2017 06 18 0000  292.956396  2.427664  102.412754
2017 06 19 0000  292.947666  2.427868  102.371777
2017 06 20 0000  292.938860  2.428066  102.331062
