# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 07 17 0000  292.794554  2.399862  114.595973
2016 07 18 0000  292.794318  2.399879  114.562430
2016 07 19 0000  292.794083  2.399896  114.528887
2016 07 20 0000  292.793847  2.399914  114.495344
2016 07 21 0000  292.793611  2.399931  114.461800
2016 07 22 0000  292.793375  2.399948  114.428257
2016 07 23 0000  292.793139  2.399965  114.394714
2016 07 24 0000  292.792903  2.399983  114.361170
2016 07 25 0000  292.792667  2.400000  114.327627
2016 07 26 0000  292.792430  2.400017  114.294083
2016 07 27 0000  292.792194  2.400034  114.260540
2016 07 28 0000  292.791957  2.400052  114.226997
2016 07 29 0000  292.791720  2.400069  114.193453
2016 07 30 0000  292.791483  2.400086  114.159910
2016 07 31 0000  292.791246  2.400104  114.126366
2016 08 01 0000  292.791009  2.400121  114.092823
2016 08 02 0000  292.790771  2.400138  114.059279
2016 08 03 0000  292.790534  2.400156  114.025736
2016 08 04 0000  292.790296  2.400173  113.992192
2016 08 05 0000  292.790058  2.400191  113.958648
2016 08 06 0000  292.789820  2.400208  113.925105
2016 08 07 0000  292.789582  2.400225  113.891561
2016 08 08 0000  292.789344  2.400243  113.858018
2016 08 09 0000  292.789106  2.400260  113.824474
2016 08 10 0000  292.788867  2.400278  113.790930
2016 08 11 0000  292.788628  2.400295  113.757387
2016 08 12 0000  292.788390  2.400312  113.723843
2016 08 13 0000  292.788151  2.400330  113.690299
2016 08 14 0000  292.787912  2.400347  113.656755
2016 08 15 0000  292.787673  2.400365  113.623212
2016 08 16 0000  292.787433  2.400382  113.589668
2016 08 17 0000  292.787194  2.400400  113.556124
2016 08 18 0000  292.786954  2.400417  113.522580
2016 08 19 0000  292.786714  2.400435  113.489036
2016 08 20 0000  292.786475  2.400452  113.455492
2016 08 21 0000  292.786235  2.400470  113.421949
2016 08 22 0000  292.785994  2.400488  113.388405
2016 08 23 0000  292.785754  2.400505  113.354861
2016 08 24 0000  292.785514  2.400523  113.321317
2016 08 25 0000  292.785273  2.400540  113.287773
2016 08 26 0000  292.785033  2.400558  113.254229
2016 08 27 0000  292.784792  2.400575  113.220685
2016 08 28 0000  292.784551  2.400593  113.187141
2016 08 29 0000  292.784310  2.400611  113.153597
2016 08 30 0000  292.784069  2.400628  113.120053
2016 08 31 0000  292.783827  2.400646  113.086509
2016 09 01 0000  292.783586  2.400664  113.052965
2016 09 02 0000  292.783344  2.400681  113.019421
2016 09 03 0000  292.783102  2.400699  112.985877
2016 09 04 0000  292.782860  2.400717  112.952332
2016 09 05 0000  292.782618  2.400734  112.918788
2016 09 06 0000  292.782376  2.400752  112.885244
2016 09 07 0000  292.782134  2.400770  112.851700
2016 09 08 0000  292.781891  2.400787  112.818156
2016 09 09 0000  292.781649  2.400805  112.784611
2016 09 10 0000  292.781406  2.400823  112.751067
2016 09 11 0000  292.781163  2.400841  112.717523
2016 09 12 0000  292.780920  2.400858  112.683978
2016 09 13 0000  292.780677  2.400876  112.650434
2016 09 14 0000  292.780433  2.400894  112.616890
2016 09 15 0000  292.780190  2.400912  112.583345
2016 09 16 0000  292.779946  2.400930  112.549801
2016 09 17 0000  292.779703  2.400947  112.516257
2016 09 18 0000  292.779459  2.400965  112.482712
2016 09 19 0000  292.779215  2.400983  112.449168
2016 09 20 0000  292.778971  2.401001  112.415623
2016 09 21 0000  292.778726  2.401019  112.382079
2016 09 22 0000  292.778482  2.401037  112.348534
2016 09 23 0000  292.778237  2.401055  112.314990
2016 09 24 0000  292.777993  2.401072  112.281445
2016 09 25 0000  292.777748  2.401090  112.247901
2016 09 26 0000  292.777503  2.401108  112.214356
2016 09 27 0000  292.777258  2.401126  112.180811
2016 09 28 0000  292.777012  2.401144  112.147267
2016 09 29 0000  292.776767  2.401162  112.113722
2016 09 30 0000  292.776521  2.401180  112.080178
2016 10 01 0000  292.776276  2.401198  112.046633
2016 10 02 0000  292.776030  2.401216  112.013088
2016 10 03 0000  292.775784  2.401234  111.979543
2016 10 04 0000  292.775538  2.401252  111.945999
2016 10 05 0000  292.775291  2.401270  111.912454
2016 10 06 0000  292.775045  2.401288  111.878909
2016 10 07 0000  292.774798  2.401306  111.845364
2016 10 08 0000  292.774552  2.401324  111.811819
2016 10 09 0000  292.774305  2.401342  111.778275
2016 10 10 0000  292.774058  2.401360  111.744730
2016 10 11 0000  292.773811  2.401378  111.711185
2016 10 12 0000  292.773563  2.401396  111.677640
2016 10 13 0000  292.773316  2.401414  111.644095
2016 10 14 0000  292.773068  2.401433  111.610550
2016 10 15 0000  292.772820  2.401451  111.577005
2016 10 16 0000  292.772573  2.401469  111.543460
2016 10 17 0000  292.772325  2.401487  111.509915
2016 10 18 0000  292.772076  2.401505  111.476370
2016 10 19 0000  292.771828  2.401523  111.442825
2016 10 20 0000  292.771580  2.401541  111.409280
2016 10 21 0000  292.771331  2.401560  111.375735
2016 10 22 0000  292.771082  2.401578  111.342190
2016 10 23 0000  292.770833  2.401596  111.308645
2016 10 24 0000  292.770584  2.401614  111.275099
2016 10 25 0000  292.770335  2.401632  111.241554
2016 10 26 0000  292.770086  2.401651  111.208009
2016 10 27 0000  292.769836  2.401669  111.174464
2016 10 28 0000  292.769587  2.401687  111.140919
2016 10 29 0000  292.769337  2.401705  111.107373
2016 10 30 0000  292.769087  2.401724  111.073828
2016 10 31 0000  292.768837  2.401742  111.040283
2016 11 01 0000  292.768587  2.401760  111.006737
2016 11 02 0000  292.768337  2.401779  110.973192
2016 11 03 0000  292.768086  2.401797  110.939647
2016 11 04 0000  292.767835  2.401815  110.906101
2016 11 05 0000  292.767585  2.401834  110.872556
2016 11 06 0000  292.767334  2.401852  110.839010
2016 11 07 0000  292.767083  2.401870  110.805465
2016 11 08 0000  292.766831  2.401889  110.771919
2016 11 09 0000  292.766580  2.401907  110.738374
2016 11 10 0000  292.766329  2.401925  110.704828
2016 11 11 0000  292.766077  2.401944  110.671283
2016 11 12 0000  292.765825  2.401962  110.637737
2016 11 13 0000  292.765573  2.401981  110.604192
2016 11 14 0000  292.765321  2.401999  110.570646
2016 11 15 0000  292.765069  2.402018  110.537100
2016 11 16 0000  292.764816  2.402036  110.503555
2016 11 17 0000  292.764564  2.402055  110.470009
2016 11 18 0000  292.764311  2.402073  110.436463
2016 11 19 0000  292.764058  2.402092  110.402918
2016 11 20 0000  292.763805  2.402110  110.369372
2016 11 21 0000  292.763552  2.402129  110.335826
2016 11 22 0000  292.763299  2.402147  110.302281
2016 11 23 0000  292.763045  2.402166  110.268735
2016 11 24 0000  292.762792  2.402184  110.235189
2016 11 25 0000  292.762538  2.402203  110.201643
2016 11 26 0000  292.762284  2.402221  110.168097
2016 11 27 0000  292.762030  2.402240  110.134551
2016 11 28 0000  292.761776  2.402259  110.101005
2016 11 29 0000  292.761521  2.402277  110.067460
2016 11 30 0000  292.761267  2.402296  110.033914
2016 12 01 0000  292.761012  2.402314  110.000368
2016 12 02 0000  292.760757  2.402333  109.966822
2016 12 03 0000  292.760502  2.402352  109.933276
2016 12 04 0000  292.760247  2.402370  109.899730
2016 12 05 0000  292.759992  2.402389  109.866184
2016 12 06 0000  292.759736  2.402408  109.832638
2016 12 07 0000  292.759481  2.402426  109.799091
2016 12 08 0000  292.759225  2.402445  109.765545
2016 12 09 0000  292.758969  2.402464  109.731999
