# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 06 29 0000  292.800991  2.399494  115.198736
2016 06 30 0000  292.800759  2.399511  115.165186
2016 07 01 0000  292.800528  2.399529  115.131637
2016 07 02 0000  292.800296  2.399546  115.098087
2016 07 03 0000  292.800064  2.399563  115.064537
2016 07 04 0000  292.799832  2.399580  115.030987
2016 07 05 0000  292.799600  2.399597  114.997437
2016 07 06 0000  292.799368  2.399614  114.963887
2016 07 07 0000  292.799135  2.399632  114.930337
2016 07 08 0000  292.798903  2.399649  114.896787
2016 07 09 0000  292.798670  2.399666  114.863237
2016 07 10 0000  292.798437  2.399683  114.829687
2016 07 11 0000  292.798204  2.399701  114.796137
2016 07 12 0000  292.797971  2.399718  114.762587
2016 07 13 0000  292.797738  2.399735  114.729037
2016 07 14 0000  292.797505  2.399753  114.695487
2016 07 15 0000  292.797271  2.399770  114.661937
2016 07 16 0000  292.797038  2.399787  114.628387
2016 07 17 0000  292.796804  2.399805  114.594837
2016 07 18 0000  292.796570  2.399822  114.561286
2016 07 19 0000  292.796336  2.399839  114.527736
2016 07 20 0000  292.796102  2.399857  114.494186
2016 07 21 0000  292.795867  2.399874  114.460636
2016 07 22 0000  292.795633  2.399891  114.427085
2016 07 23 0000  292.795398  2.399909  114.393535
2016 07 24 0000  292.795163  2.399926  114.359985
2016 07 25 0000  292.794929  2.399944  114.326435
2016 07 26 0000  292.794694  2.399961  114.292884
2016 07 27 0000  292.794458  2.399978  114.259334
2016 07 28 0000  292.794223  2.399996  114.225783
2016 07 29 0000  292.793988  2.400013  114.192233
2016 07 30 0000  292.793752  2.400031  114.158683
2016 07 31 0000  292.793516  2.400048  114.125132
2016 08 01 0000  292.793281  2.400066  114.091582
2016 08 02 0000  292.793045  2.400083  114.058031
2016 08 03 0000  292.792808  2.400101  114.024481
2016 08 04 0000  292.792572  2.400118  113.990930
2016 08 05 0000  292.792336  2.400136  113.957380
2016 08 06 0000  292.792099  2.400153  113.923829
2016 08 07 0000  292.791863  2.400171  113.890278
2016 08 08 0000  292.791626  2.400188  113.856728
