# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2026 03 02 0000  79.047055  -2.620092  3.998832  25.107832
2026 03 03 0000  78.835514  -2.619209  4.048257  25.107847
2026 03 04 0000  78.632625  -2.618210  4.097880  25.107850
2026 03 05 0000  78.438132  -2.617104  4.147692  25.107848
2026 03 06 0000  78.251788  -2.615899  4.197686  25.107848
2026 03 07 0000  78.073354  -2.614601  4.247852  25.107856
2026 03 08 0000  77.902604  -2.613219  4.298183  25.107873
2026 03 09 0000  77.739319  -2.611759  4.348671  25.107903
2026 03 10 0000  77.583290  -2.610227  4.399308  25.107944
2026 03 11 0000  77.434317  -2.608628  4.450087  25.107993
2026 03 12 0000  77.292206  -2.606969  4.500999  25.108047
2026 03 13 0000  77.156772  -2.605253  4.552037  25.108101
2026 03 14 0000  77.027835  -2.603485  4.603193  25.108153
2026 03 15 0000  76.905219  -2.601672  4.654460  25.108196
2026 03 16 0000  76.788756  -2.599816  4.705831  25.108228
2026 03 17 0000  76.678278  -2.597924  4.757297  25.108246
2026 03 18 0000  76.573619  -2.596001  4.808851  25.108252
2026 03 19 0000  76.474612  -2.594054  4.860486  25.108249
2026 03 20 0000  76.381092  -2.592088  4.912195  25.108246
2026 03 21 0000  76.292894  -2.590109  4.963969  25.108251
2026 03 22 0000  76.209858  -2.588124  5.015801  25.108271
2026 03 23 0000  76.131831  -2.586139  5.067685  25.108311
2026 03 24 0000  76.058667  -2.584158  5.119613  25.108369
2026 03 25 0000  75.990231  -2.582186  5.171580  25.108438
2026 03 26 0000  75.926390  -2.580228  5.223577  25.108509
2026 03 27 0000  75.867019  -2.578287  5.275600  25.108572
2026 03 28 0000  75.811993  -2.576365  5.327642  25.108623
2026 03 29 0000  75.761187  -2.574466  5.379697  25.108656
2026 03 30 0000  75.714478  -2.572592  5.431760  25.108673
2026 03 31 0000  75.671744  -2.570745  5.483824  25.108677
2026 04 01 0000  75.632864  -2.568927  5.535886  25.108675
2026 04 02 0000  75.597722  -2.567140  5.587939  25.108673
2026 04 03 0000  75.566206  -2.565384  5.639978  25.108677
2026 04 04 0000  75.538208  -2.563662  5.691998  25.108691
2026 04 05 0000  75.513628  -2.561976  5.743995  25.108717
2026 04 06 0000  75.492371  -2.560325  5.795962  25.108755
2026 04 07 0000  75.474346  -2.558712  5.847895  25.108802
2026 04 08 0000  75.459466  -2.557139  5.899789  25.108856
2026 04 09 0000  75.447648  -2.555606  5.951638  25.108913
2026 04 10 0000  75.438812  -2.554114  6.003439  25.108967
2026 04 11 0000  75.432879  -2.552666  6.055185  25.109015
2026 04 12 0000  75.429772  -2.551261  6.106872  25.109054
2026 04 13 0000  75.429416  -2.549902  6.158495  25.109081
2026 04 14 0000  75.431735  -2.548589  6.210049  25.109095
2026 04 15 0000  75.436652  -2.547325  6.261529  25.109099
2026 04 16 0000  75.444087  -2.546109  6.312929  25.109099
2026 04 17 0000  75.453960  -2.544943  6.364246  25.109105
2026 04 18 0000  75.466189  -2.543829  6.415473  25.109124
2026 04 19 0000  75.480699  -2.542767  6.466606  25.109164
2026 04 20 0000  75.497419  -2.541758  6.517641  25.109224
2026 04 21 0000  75.516285  -2.540803  6.568571  25.109300
2026 04 22 0000  75.537238  -2.539903  6.619394  25.109380
2026 04 23 0000  75.560223  -2.539056  6.670104  25.109455
2026 04 24 0000  75.585183  -2.538265  6.720697  25.109517
2026 04 25 0000  75.612058  -2.537528  6.771170  25.109562
2026 04 26 0000  75.640787  -2.536846  6.821518  25.109590
2026 04 27 0000  75.671306  -2.536218  6.871738  25.109604
2026 04 28 0000  75.703555  -2.535644  6.921826  25.109611
2026 04 29 0000  75.737470  -2.535125  6.971778  25.109617
2026 04 30 0000  75.772994  -2.534660  7.021591  25.109627
2026 05 01 0000  75.810069  -2.534249  7.071262  25.109647
2026 05 02 0000  75.848645  -2.533892  7.120787  25.109678
2026 05 03 0000  75.888673  -2.533589  7.170163  25.109722
2026 05 04 0000  75.930107  -2.533340  7.219385  25.109776
2026 05 05 0000  75.972904  -2.533145  7.268452  25.109837
2026 05 06 0000  76.017025  -2.533005  7.317359  25.109902
2026 05 07 0000  76.062431  -2.532919  7.366103  25.109967
2026 05 08 0000  76.109084  -2.532888  7.414680  25.110026
2026 05 09 0000  76.156946  -2.532911  7.463088  25.110077
2026 05 10 0000  76.205978  -2.532990  7.511323  25.110117
2026 05 11 0000  76.256143  -2.533124  7.559381  25.110145
2026 05 12 0000  76.307400  -2.533314  7.607259  25.110163
2026 05 13 0000  76.359705  -2.533560  7.654954  25.110174
2026 05 14 0000  76.413014  -2.533863  7.702461  25.110187
2026 05 15 0000  76.467279  -2.534223  7.749779  25.110210
2026 05 16 0000  76.522453  -2.534641  7.796902  25.110251
2026 05 17 0000  76.578495  -2.535116  7.843828  25.110315
2026 05 18 0000  76.635368  -2.535649  7.890553  25.110398
2026 05 19 0000  76.693043  -2.536240  7.937075  25.110491
2026 05 20 0000  76.751493  -2.536888  7.983390  25.110583
2026 05 21 0000  76.810690  -2.537595  8.029496  25.110663
2026 05 22 0000  76.870606  -2.538358  8.075389  25.110725
2026 05 23 0000  76.931203  -2.539178  8.121068  25.110768
2026 05 24 0000  76.992444  -2.540055  8.166531  25.110796
2026 05 25 0000  77.054291  -2.540988  8.211774  25.110814
2026 05 26 0000  77.116703  -2.541976  8.256796  25.110830
2026 05 27 0000  77.179645  -2.543020  8.301594  25.110849
2026 05 28 0000  77.243081  -2.544119  8.346168  25.110877
2026 05 29 0000  77.306979  -2.545272  8.390514  25.110915
2026 05 30 0000  77.371311  -2.546480  8.434630  25.110965
2026 05 31 0000  77.436049  -2.547742  8.478515  25.111026
2026 06 01 0000  77.501171  -2.549058  8.522167  25.111095
2026 06 02 0000  77.566652  -2.550429  8.565584  25.111168
2026 06 03 0000  77.632473  -2.551853  8.608763  25.111242
2026 06 04 0000  77.698613  -2.553332  8.651703  25.111312
2026 06 05 0000  77.765049  -2.554864  8.694401  25.111373
2026 06 06 0000  77.831762  -2.556451  8.736857  25.111424
2026 06 07 0000  77.898728  -2.558092  8.779067  25.111463
2026 06 08 0000  77.965922  -2.559787  8.821030  25.111491
2026 06 09 0000  78.033316  -2.561536  8.862744  25.111512
2026 06 10 0000  78.100883  -2.563341  8.904206  25.111531
2026 06 11 0000  78.168590  -2.565200  8.945415  25.111556
2026 06 12 0000  78.236404  -2.567115  8.986369  25.111596
2026 06 13 0000  78.304296  -2.569085  9.027066  25.111656
2026 06 14 0000  78.372240  -2.571110  9.067503  25.111738
2026 06 15 0000  78.440216  -2.573190  9.107679  25.111835
2026 06 16 0000  78.508209  -2.575326  9.147593  25.111937
2026 06 17 0000  78.576206  -2.577516  9.187242  25.112031
2026 06 18 0000  78.644192  -2.579761  9.226627  25.112108
2026 06 19 0000  78.712145  -2.582060  9.265744  25.112164
2026 06 20 0000  78.780040  -2.584413  9.304595  25.112201
2026 06 21 0000  78.847847  -2.586820  9.343177  25.112226
2026 06 22 0000  78.915536  -2.589279  9.381490  25.112247
2026 06 23 0000  78.983081  -2.591790  9.419534  25.112269
2026 06 24 0000  79.050454  -2.594353  9.457308  25.112298
2026 06 25 0000  79.117634  -2.596968  9.494811  25.112337
2026 06 26 0000  79.184598  -2.599635  9.532043  25.112387
2026 06 27 0000  79.251330  -2.602352  9.569003  25.112448
2026 06 28 0000  79.317812  -2.605120  9.605690  25.112518
2026 06 29 0000  79.384031  -2.607939  9.642105  25.112593
2026 06 30 0000  79.449973  -2.610809  9.678247  25.112669
2026 07 01 0000  79.515625  -2.613729  9.714114  25.112741
2026 07 02 0000  79.580973  -2.616699  9.749708  25.112806
2026 07 03 0000  79.646004  -2.619720  9.785026  25.112860
2026 07 04 0000  79.710703  -2.622791  9.820069  25.112902
2026 07 05 0000  79.775052  -2.625913  9.854837  25.112932
2026 07 06 0000  79.839031  -2.629085  9.889328  25.112954
2026 07 07 0000  79.902618  -2.632307  9.923542  25.112972
2026 07 08 0000  79.965790  -2.635581  9.957480  25.112994
2026 07 09 0000  80.028521  -2.638904  9.991139  25.113026
2026 07 10 0000  80.090787  -2.642279  10.024520  25.113076
2026 07 11 0000  80.152568  -2.645704  10.057623  25.113145
2026 07 12 0000  80.213847  -2.649180  10.090447  25.113233
2026 07 13 0000  80.274612  -2.652706  10.122991  25.113330
2026 07 14 0000  80.334856  -2.656282  10.155257  25.113426
2026 07 15 0000  80.394570  -2.659908  10.187244  25.113508
2026 07 16 0000  80.453743  -2.663584  10.218952  25.113570
2026 07 17 0000  80.512357  -2.667308  10.250382  25.113611
2026 07 18 0000  80.570389  -2.671080  10.281535  25.113636
2026 07 19 0000  80.627813  -2.674900  10.312413  25.113652
2026 07 20 0000  80.684605  -2.678767  10.343014  25.113668
2026 07 21 0000  80.740743  -2.682681  10.373341  25.113690
2026 07 22 0000  80.796207  -2.686641  10.403396  25.113721
2026 07 23 0000  80.850982  -2.690647  10.433177  25.113763
2026 07 24 0000  80.905053  -2.694697  10.462688  25.113816
2026 07 25 0000  80.958406  -2.698793  10.491928  25.113878
2026 07 26 0000  81.011033  -2.702934  10.520900  25.113946
2026 07 27 0000  81.062923  -2.707119  10.549604  25.114015
2026 07 28 0000  81.114068  -2.711348  10.578041  25.114082
2026 07 29 0000  81.164458  -2.715621  10.606213  25.114142
2026 07 30 0000  81.214084  -2.719937  10.634121  25.114192
2026 07 31 0000  81.262935  -2.724297  10.661765  25.114229
2026 08 01 0000  81.310998  -2.728701  10.689148  25.114254
2026 08 02 0000  81.358258  -2.733147  10.716270  25.114269
2026 08 03 0000  81.404697  -2.737637  10.743133  25.114279
2026 08 04 0000  81.450295  -2.742170  10.769737  25.114291
2026 08 05 0000  81.495033  -2.746745  10.796084  25.114311
2026 08 06 0000  81.538889  -2.751363  10.822176  25.114346
2026 08 07 0000  81.581847  -2.756023  10.848013  25.114398
2026 08 08 0000  81.623892  -2.760726  10.873596  25.114468
2026 08 09 0000  81.665015  -2.765470  10.898929  25.114551
2026 08 10 0000  81.705210  -2.770256  10.924012  25.114636
2026 08 11 0000  81.744472  -2.775082  10.948846  25.114713
2026 08 12 0000  81.782795  -2.779949  10.973435  25.114774
2026 08 13 0000  81.820168  -2.784855  10.997781  25.114813
2026 08 14 0000  81.856575  -2.789800  11.021885  25.114834
2026 08 15 0000  81.891994  -2.794782  11.045750  25.114843
2026 08 16 0000  81.926404  -2.799802  11.069380  25.114847
2026 08 17 0000  81.959785  -2.804858  11.092776  25.114856
2026 08 18 0000  81.992121  -2.809950  11.115943  25.114873
2026 08 19 0000  82.023397  -2.815077  11.138882  25.114902
2026 08 20 0000  82.053603  -2.820237  11.161597  25.114942
2026 08 21 0000  82.082729  -2.825432  11.184090  25.114991
2026 08 22 0000  82.110768  -2.830659  11.206364  25.115048
2026 08 23 0000  82.137715  -2.835919  11.228423  25.115108
2026 08 24 0000  82.163565  -2.841210  11.250270  25.115166
2026 08 25 0000  82.188312  -2.846532  11.271906  25.115218
2026 08 26 0000  82.211951  -2.851886  11.293337  25.115261
2026 08 27 0000  82.234476  -2.857269  11.314564  25.115292
2026 08 28 0000  82.255880  -2.862682  11.335590  25.115310
2026 08 29 0000  82.276151  -2.868125  11.356419  25.115317
2026 08 30 0000  82.295277  -2.873596  11.377053  25.115318
2026 08 31 0000  82.313242  -2.879095  11.397496  25.115319
2026 09 01 0000  82.330031  -2.884622  11.417751  25.115327
2026 09 02 0000  82.345629  -2.890176  11.437821  25.115348
2026 09 03 0000  82.360021  -2.895757  11.457709  25.115387
2026 09 04 0000  82.373198  -2.901364  11.477418  25.115442
2026 09 05 0000  82.385156  -2.906996  11.496951  25.115511
2026 09 06 0000  82.395891  -2.912653  11.516313  25.115584
2026 09 07 0000  82.405404  -2.918333  11.535506  25.115653
2026 09 08 0000  82.413693  -2.924036  11.554535  25.115708
2026 09 09 0000  82.420752  -2.929761  11.573404  25.115746
2026 09 10 0000  82.426575  -2.935506  11.592117  25.115764
2026 09 11 0000  82.431147  -2.941270  11.610678  25.115768
2026 09 12 0000  82.434454  -2.947053  11.629092  25.115765
2026 09 13 0000  82.436479  -2.952852  11.647363  25.115764
2026 09 14 0000  82.437212  -2.958667  11.665496  25.115770
2026 09 15 0000  82.436641  -2.964497  11.683496  25.115787
2026 09 16 0000  82.434762  -2.970340  11.701368  25.115816
2026 09 17 0000  82.431571  -2.976195  11.719116  25.115857
2026 09 18 0000  82.427067  -2.982062  11.736745  25.115905
2026 09 19 0000  82.421251  -2.987939  11.754259  25.115958
2026 09 20 0000  82.414123  -2.993825  11.771665  25.116011
2026 09 21 0000  82.405686  -2.999720  11.788965  25.116060
2026 09 22 0000  82.395942  -3.005622  11.806166  25.116102
2026 09 23 0000  82.384891  -3.011529  11.823272  25.116132
2026 09 24 0000  82.372533  -3.017443  11.840287  25.116150
2026 09 25 0000  82.358866  -3.023360  11.857217  25.116156
2026 09 26 0000  82.343887  -3.029281  11.874066  25.116154
2026 09 27 0000  82.327588  -3.035204  11.890839  25.116150
2026 09 28 0000  82.309961  -3.041129  11.907541  25.116152
2026 09 29 0000  82.290997  -3.047054  11.924176  25.116167
2026 09 30 0000  82.270690  -3.052979  11.940749  25.116199
2026 10 01 0000  82.249039  -3.058902  11.957265  25.116250
2026 10 02 0000  82.226047  -3.064822  11.973729  25.116315
2026 10 03 0000  82.201720  -3.070739  11.990146  25.116386
2026 10 04 0000  82.176067  -3.076650  12.006521  25.116454
2026 10 05 0000  82.149094  -3.082555  12.022860  25.116511
2026 10 06 0000  82.120807  -3.088451  12.039167  25.116552
2026 10 07 0000  82.091207  -3.094337  12.055450  25.116575
2026 10 08 0000  82.060293  -3.100213  12.071712  25.116583
2026 10 09 0000  82.028059  -3.106075  12.087961  25.116582
2026 10 10 0000  81.994501  -3.111923  12.104202  25.116581
2026 10 11 0000  81.959617  -3.117755  12.120441  25.116585
2026 10 12 0000  81.923404  -3.123569  12.136684  25.116599
2026 10 13 0000  81.885867  -3.129364  12.152938  25.116627
2026 10 14 0000  81.847012  -3.135138  12.169207  25.116666
2026 10 15 0000  81.806849  -3.140890  12.185499  25.116716
2026 10 16 0000  81.765388  -3.146619  12.201819  25.116771
2026 10 17 0000  81.722641  -3.152322  12.218173  25.116828
2026 10 18 0000  81.678623  -3.157998  12.234567  25.116883
2026 10 19 0000  81.633345  -3.163647  12.251007  25.116931
2026 10 20 0000  81.586820  -3.169267  12.267498  25.116969
2026 10 21 0000  81.539059  -3.174856  12.284046  25.116997
2026 10 22 0000  81.490075  -3.180414  12.300657  25.117013
2026 10 23 0000  81.439875  -3.185938  12.317337  25.117020
2026 10 24 0000  81.388466  -3.191428  12.334091  25.117022
2026 10 25 0000  81.335851  -3.196883  12.350925  25.117027
2026 10 26 0000  81.282036  -3.202300  12.367844  25.117044
2026 10 27 0000  81.227023  -3.207680  12.384853  25.117077
2026 10 28 0000  81.170823  -3.213021  12.401958  25.117132
2026 10 29 0000  81.113449  -3.218320  12.419164  25.117203
2026 10 30 0000  81.054921  -3.223578  12.436477  25.117285
2026 10 31 0000  80.995260  -3.228793  12.453902  25.117365
2026 11 01 0000  80.934489  -3.233962  12.471445  25.117435
2026 11 02 0000  80.872626  -3.239085  12.489112  25.117489
2026 11 03 0000  80.809685  -3.244159  12.506909  25.117524
2026 11 04 0000  80.745679  -3.249183  12.524841  25.117545
2026 11 05 0000  80.680616  -3.254156  12.542916  25.117556
2026 11 06 0000  80.614506  -3.259075  12.561137  25.117564
2026 11 07 0000  80.547358  -3.263939  12.579513  25.117576
2026 11 08 0000  80.479185  -3.268747  12.598048  25.117598
2026 11 09 0000  80.410002  -3.273497  12.616748  25.117632
2026 11 10 0000  80.339828  -3.278188  12.635620  25.117678
2026 11 11 0000  80.268685  -3.282817  12.654669  25.117736
2026 11 12 0000  80.196597  -3.287384  12.673901  25.117800
2026 11 13 0000  80.123589  -3.291888  12.693320  25.117868
2026 11 14 0000  80.049688  -3.296327  12.712933  25.117935
2026 11 15 0000  79.974919  -3.300700  12.732745  25.117996
2026 11 16 0000  79.899309  -3.305006  12.752761  25.118049
2026 11 17 0000  79.822883  -3.309243  12.772987  25.118091
2026 11 18 0000  79.745663  -3.313411  12.793426  25.118123
2026 11 19 0000  79.667673  -3.317509  12.814084  25.118144
2026 11 20 0000  79.588933  -3.321536  12.834965  25.118160
2026 11 21 0000  79.509462  -3.325491  12.856075  25.118176
2026 11 22 0000  79.429275  -3.329372  12.877417  25.118198
2026 11 23 0000  79.348390  -3.333180  12.898996  25.118236
2026 11 24 0000  79.266824  -3.336914  12.920815  25.118294
2026 11 25 0000  79.184601  -3.340571  12.942880  25.118373
2026 11 26 0000  79.101751  -3.344153  12.965194  25.118466
2026 11 27 0000  79.018307  -3.347657  12.987760  25.118564
2026 11 28 0000  78.934305  -3.351083  13.010585  25.118654
2026 11 29 0000  78.849778  -3.354429  13.033671  25.118727
2026 11 30 0000  78.764752  -3.357696  13.057022  25.118779
2026 12 01 0000  78.679251  -3.360881  13.080644  25.118815
2026 12 02 0000  78.593293  -3.363983  13.104540  25.118838
2026 12 03 0000  78.506899  -3.367002  13.128714  25.118858
2026 12 04 0000  78.420086  -3.369937  13.153171  25.118880
2026 12 05 0000  78.332878  -3.372787  13.177914  25.118910
2026 12 06 0000  78.245299  -3.375551  13.202947  25.118951
2026 12 07 0000  78.157376  -3.378229  13.228274  25.119005
2026 12 08 0000  78.069138  -3.380820  13.253898  25.119070
2026 12 09 0000  77.980619  -3.383323  13.279823  25.119143
2026 12 10 0000  77.891851  -3.385738  13.306051  25.119220
2026 12 11 0000  77.802868  -3.388065  13.332587  25.119297
2026 12 12 0000  77.713704  -3.390304  13.359432  25.119369
2026 12 13 0000  77.624391  -3.392453  13.386589  25.119432
2026 12 14 0000  77.534962  -3.394514  13.414060  25.119486
2026 12 15 0000  77.445447  -3.396486  13.441849  25.119528
2026 12 16 0000  77.355874  -3.398369  13.469956  25.119560
2026 12 17 0000  77.266269  -3.400164  13.498384  25.119585
2026 12 18 0000  77.176658  -3.401869  13.527135  25.119608
2026 12 19 0000  77.087061  -3.403486  13.556210  25.119634
2026 12 20 0000  76.997501  -3.405015  13.585610  25.119671
2026 12 21 0000  76.907999  -3.406456  13.615337  25.119725
2026 12 22 0000  76.818579  -3.407809  13.645392  25.119800
2026 12 23 0000  76.729269  -3.409074  13.675775  25.119894
2026 12 24 0000  76.640104  -3.410253  13.706488  25.119998
2026 12 25 0000  76.551121  -3.411344  13.737531  25.120099
2026 12 26 0000  76.462359  -3.412348  13.768905  25.120187
2026 12 27 0000  76.373848  -3.413265  13.800612  25.120254
2026 12 28 0000  76.285615  -3.414096  13.832652  25.120299
2026 12 29 0000  76.197679  -3.414840  13.865026  25.120329
2026 12 30 0000  76.110058  -3.415497  13.897734  25.120351
2026 12 31 0000  76.022769  -3.416069  13.930778  25.120374
2027 01 01 0000  75.935834  -3.416555  13.964158  25.120404
2027 01 02 0000  75.849274  -3.416956  13.997875  25.120445
2027 01 03 0000  75.763114  -3.417272  14.031928  25.120497
2027 01 04 0000  75.677381  -3.417503  14.066317  25.120560
2027 01 05 0000  75.592104  -3.417652  14.101042  25.120631
2027 01 06 0000  75.507312  -3.417717  14.136104  25.120707
2027 01 07 0000  75.423034  -3.417701  14.171500  25.120784
2027 01 08 0000  75.339300  -3.417603  14.207231  25.120856
2027 01 09 0000  75.256139  -3.417426  14.243296  25.120920
2027 01 10 0000  75.173578  -3.417169  14.279693  25.120974
2027 01 11 0000  75.091640  -3.416834  14.316421  25.121016
2027 01 12 0000  75.010350  -3.416422  14.353479  25.121047
2027 01 13 0000  74.929727  -3.415935  14.390865  25.121070
2027 01 14 0000  74.849789  -3.415372  14.428576  25.121089
2027 01 15 0000  74.770552  -3.414736  14.466612  25.121109
2027 01 16 0000  74.692030  -3.414028  14.504969  25.121137
2027 01 17 0000  74.614237  -3.413249  14.543645  25.121178
2027 01 18 0000  74.537189  -3.412401  14.582639  25.121238
2027 01 19 0000  74.460902  -3.411483  14.621947  25.121316
2027 01 20 0000  74.385399  -3.410499  14.661567  25.121408
2027 01 21 0000  74.310707  -3.409448  14.701496  25.121504
2027 01 22 0000  74.236852  -3.408333  14.741731  25.121592
2027 01 23 0000  74.163860  -3.407153  14.782270  25.121662
2027 01 24 0000  74.091752  -3.405911  14.823110  25.121710
2027 01 25 0000  74.020538  -3.404606  14.864250  25.121738
2027 01 26 0000  73.950226  -3.403241  14.905685  25.121754
2027 01 27 0000  73.880822  -3.401816  14.947414  25.121767
2027 01 28 0000  73.812332  -3.400332  14.989434  25.121785
2027 01 29 0000  73.744766  -3.398790  15.031741  25.121814
2027 01 30 0000  73.678137  -3.397193  15.074333  25.121854
2027 01 31 0000  73.612459  -3.395540  15.117207  25.121905
2027 02 01 0000  73.547748  -3.393833  15.160360  25.121965
2027 02 02 0000  73.484022  -3.392074  15.203787  25.122030
2027 02 03 0000  73.421297  -3.390264  15.247485  25.122097
2027 02 04 0000  73.359589  -3.388405  15.291450  25.122160
2027 02 05 0000  73.298915  -3.386497  15.335679  25.122215
2027 02 06 0000  73.239289  -3.384543  15.380167  25.122261
2027 02 07 0000  73.180723  -3.382544  15.424910  25.122295
2027 02 08 0000  73.123226  -3.380502  15.469904  25.122317
2027 02 09 0000  73.066807  -3.378417  15.515145  25.122330
2027 02 10 0000  73.011469  -3.376292  15.560627  25.122337
2027 02 11 0000  72.957215  -3.374129  15.606346  25.122345
2027 02 12 0000  72.904047  -3.371928  15.652298  25.122358
2027 02 13 0000  72.851965  -3.369691  15.698477  25.122383
2027 02 14 0000  72.800970  -3.367420  15.744878  25.122424
2027 02 15 0000  72.751067  -3.365117  15.791497  25.122481
2027 02 16 0000  72.702262  -3.362783  15.838329  25.122553
2027 02 17 0000  72.654565  -3.360418  15.885368  25.122633
2027 02 18 0000  72.607988  -3.358025  15.932610  25.122710
2027 02 19 0000  72.562544  -3.355605  15.980049  25.122775
2027 02 20 0000  72.518241  -3.353159  16.027681  25.122820
2027 02 21 0000  72.475082  -3.350687  16.075502  25.122844
2027 02 22 0000  72.433063  -3.348192  16.123507  25.122852
2027 02 23 0000  72.392177  -3.345674  16.171690  25.122853
2027 02 24 0000  72.352415  -3.343135  16.220048  25.122856
2027 02 25 0000  72.313772  -3.340575  16.268576  25.122868
2027 02 26 0000  72.276245  -3.337996  16.317269  25.122893
2027 02 27 0000  72.239836  -3.335399  16.366122  25.122930
2027 02 28 0000  72.204548  -3.332785  16.415130  25.122977
2027 03 01 0000  72.170385  -3.330155  16.464289  25.123031
2027 03 02 0000  72.137350  -3.327512  16.513592  25.123087
2027 03 03 0000  72.105448  -3.324855  16.563036  25.123141
2027 03 04 0000  72.074682  -3.322187  16.612614  25.123189
2027 03 05 0000  72.045055  -3.319508  16.662321  25.123227
2027 03 06 0000  72.016565  -3.316821  16.712152  25.123254
2027 03 07 0000  71.989213  -3.314126  16.762101  25.123270
2027 03 08 0000  71.962994  -3.311425  16.812162  25.123275
2027 03 09 0000  71.937901  -3.308719  16.862331  25.123274
2027 03 10 0000  71.913925  -3.306009  16.912601  25.123271
2027 03 11 0000  71.891056  -3.303296  16.962967  25.123274
2027 03 12 0000  71.869284  -3.300583  17.013422  25.123287
2027 03 13 0000  71.848599  -3.297870  17.063961  25.123316
2027 03 14 0000  71.828993  -3.295158  17.114579  25.123361
2027 03 15 0000  71.810463  -3.292448  17.165270  25.123420
2027 03 16 0000  71.793006  -3.289742  17.216027  25.123488
2027 03 17 0000  71.776625  -3.287040  17.266846  25.123557
2027 03 18 0000  71.761319  -3.284344  17.317721  25.123617
2027 03 19 0000  71.747089  -3.281653  17.368647  25.123660
2027 03 20 0000  71.733929  -3.278970  17.419619  25.123685
2027 03 21 0000  71.721829  -3.276295  17.470631  25.123692
2027 03 22 0000  71.710774  -3.273628  17.521679  25.123690
2027 03 23 0000  71.700747  -3.270970  17.572757  25.123686
2027 03 24 0000  71.691732  -3.268323  17.623862  25.123690
2027 03 25 0000  71.683716  -3.265686  17.674988  25.123705
2027 03 26 0000  71.676691  -3.263061  17.726129  25.123734
2027 03 27 0000  71.670649  -3.260448  17.777282  25.123776
2027 03 28 0000  71.665587  -3.257848  17.828441  25.123826
2027 03 29 0000  71.661501  -3.255263  17.879601  25.123880
2027 03 30 0000  71.658388  -3.252693  17.930757  25.123933
2027 03 31 0000  71.656245  -3.250138  17.981904  25.123982
2027 04 01 0000  71.655065  -3.247600  18.033036  25.124022
2027 04 02 0000  71.654842  -3.245080  18.084149  25.124052
2027 04 03 0000  71.655569  -3.242578  18.135237  25.124071
2027 04 04 0000  71.657234  -3.240096  18.186294  25.124079
2027 04 05 0000  71.659827  -3.237633  18.237317  25.124080
2027 04 06 0000  71.663333  -3.235192  18.288299  25.124078
2027 04 07 0000  71.667734  -3.232772  18.339235  25.124079
2027 04 08 0000  71.673014  -3.230375  18.390120  25.124091
2027 04 09 0000  71.679158  -3.228002  18.440948  25.124117
2027 04 10 0000  71.686150  -3.225652  18.491715  25.124161
2027 04 11 0000  71.693982  -3.223327  18.542415  25.124221
2027 04 12 0000  71.702646  -3.221028  18.593044  25.124292
2027 04 13 0000  71.712140  -3.218755  18.643596  25.124363
2027 04 14 0000  71.722459  -3.216508  18.694066  25.124428
2027 04 15 0000  71.733597  -3.214287  18.744451  25.124479
2027 04 16 0000  71.745547  -3.212095  18.794746  25.124512
2027 04 17 0000  71.758294  -3.209929  18.844946  25.124528
2027 04 18 0000  71.771820  -3.207792  18.895047  25.124533
2027 04 19 0000  71.786107  -3.205683  18.945045  25.124534
2027 04 20 0000  71.801135  -3.203603  18.994937  25.124540
2027 04 21 0000  71.816884  -3.201551  19.044718  25.124557
2027 04 22 0000  71.833342  -3.199529  19.094384  25.124587
2027 04 23 0000  71.850498  -3.197537  19.143931  25.124631
2027 04 24 0000  71.868342  -3.195574  19.193356  25.124685
2027 04 25 0000  71.886869  -3.193643  19.242654  25.124746
2027 04 26 0000  71.906072  -3.191742  19.291822  25.124808
2027 04 27 0000  71.925946  -3.189873  19.340854  25.124867
2027 04 28 0000  71.946482  -3.188036  19.389748  25.124918
2027 04 29 0000  71.967672  -3.186231  19.438499  25.124960
2027 04 30 0000  71.989506  -3.184459  19.487103  25.124991
2027 05 01 0000  72.011972  -3.182721  19.535556  25.125011
2027 05 02 0000  72.035056  -3.181016  19.583854  25.125023
2027 05 03 0000  72.058742  -3.179345  19.631993  25.125031
2027 05 04 0000  72.083014  -3.177709  19.679969  25.125039
2027 05 05 0000  72.107852  -3.176108  19.727778  25.125056
2027 05 06 0000  72.133237  -3.174542  19.775416  25.125086
2027 05 07 0000  72.159153  -3.173013  19.822879  25.125135
2027 05 08 0000  72.185587  -3.171519  19.870163  25.125202
2027 05 09 0000  72.212531  -3.170062  19.917264  25.125283
2027 05 10 0000  72.239979  -3.168642  19.964179  25.125367
2027 05 11 0000  72.267928  -3.167258  20.010904  25.125446
2027 05 12 0000  72.296374  -3.165911  20.057437  25.125511
2027 05 13 0000  72.325306  -3.164602  20.103774  25.125559
2027 05 14 0000  72.354710  -3.163329  20.149912  25.125588
2027 05 15 0000  72.384570  -3.162093  20.195849  25.125606
2027 05 16 0000  72.414864  -3.160895  20.241581  25.125618
2027 05 17 0000  72.445573  -3.159734  20.287107  25.125632
2027 05 18 0000  72.476678  -3.158610  20.332423  25.125656
2027 05 19 0000  72.508164  -3.157523  20.377528  25.125692
2027 05 20 0000  72.540018  -3.156473  20.422418  25.125742
2027 05 21 0000  72.572230  -3.155462  20.467092  25.125803
2027 05 22 0000  72.604793  -3.154487  20.511546  25.125873
2027 05 23 0000  72.637700  -3.153551  20.555778  25.125945
2027 05 24 0000  72.670946  -3.152652  20.599787  25.126015
