# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2016 06 12 0000  268.099113  2.417284  114.906678  24.968868
2016 06 13 0000  268.091741  2.417493  114.864248  24.968890
2016 06 14 0000  268.084290  2.417698  114.822067  24.968911
2016 06 15 0000  268.076761  2.417897  114.780136  24.968936
2016 06 16 0000  268.069151  2.418091  114.738458  24.968966
2016 06 17 0000  268.061462  2.418280  114.697035  24.969004
2016 06 18 0000  268.053694  2.418464  114.655868  24.969051
2016 06 19 0000  268.045850  2.418642  114.614960  24.969106
2016 06 20 0000  268.037933  2.418815  114.574312  24.969168
2016 06 21 0000  268.029948  2.418982  114.533926  24.969234
2016 06 22 0000  268.021902  2.419144  114.493804  24.969299
2016 06 23 0000  268.013802  2.419300  114.453948  24.969359
2016 06 24 0000  268.005652  2.419451  114.414359  24.969411
2016 06 25 0000  267.997456  2.419596  114.375039  24.969452
2016 06 26 0000  267.989218  2.419735  114.335990  24.969483
2016 06 27 0000  267.980936  2.419869  114.297214  24.969507
2016 06 28 0000  267.972607  2.419997  114.258713  24.969527
2016 06 29 0000  267.964228  2.420119  114.220487  24.969551
2016 06 30 0000  267.955794  2.420236  114.182540  24.969585
2016 07 01 0000  267.947304  2.420346  114.144873  24.969632
2016 07 02 0000  267.938761  2.420451  114.107487  24.969693
2016 07 03 0000  267.930170  2.420550  114.070384  24.969763
2016 07 04 0000  267.921540  2.420643  114.033566  24.969838
2016 07 05 0000  267.912882  2.420731  113.997032  24.969909
2016 07 06 0000  267.904203  2.420812  113.960785  24.969970
2016 07 07 0000  267.895509  2.420887  113.924824  24.970019
2016 07 08 0000  267.886803  2.420956  113.889151  24.970056
2016 07 09 0000  267.878085  2.421019  113.853766  24.970083
2016 07 10 0000  267.869354  2.421077  113.818669  24.970104
2016 07 11 0000  267.860607  2.421128  113.783861  24.970123
2016 07 12 0000  267.851845  2.421172  113.749340  24.970143
2016 07 13 0000  267.843066  2.421211  113.715109  24.970168
2016 07 14 0000  267.834270  2.421244  113.681165  24.970200
2016 07 15 0000  267.825459  2.421270  113.647510  24.970241
2016 07 16 0000  267.816635  2.421290  113.614142  24.970290
2016 07 17 0000  267.807801  2.421304  113.581063  24.970346
2016 07 18 0000  267.798962  2.421312  113.548270  24.970406
2016 07 19 0000  267.790125  2.421313  113.515765  24.970468
2016 07 20 0000  267.781296  2.421309  113.483547  24.970526
2016 07 21 0000  267.772482  2.421298  113.451615  24.970576
2016 07 22 0000  267.763688  2.421281  113.419968  24.970616
2016 07 23 0000  267.754917  2.421258  113.388608  24.970644
2016 07 24 0000  267.746169  2.421229  113.357533  24.970662
2016 07 25 0000  267.737442  2.421193  113.326743  24.970676
2016 07 26 0000  267.728731  2.421152  113.296237  24.970692
2016 07 27 0000  267.720034  2.421105  113.266016  24.970716
2016 07 28 0000  267.711348  2.421051  113.236079  24.970752
2016 07 29 0000  267.702675  2.420992  113.206425  24.970800
2016 07 30 0000  267.694021  2.420926  113.177054  24.970859
2016 07 31 0000  267.685392  2.420855  113.147964  24.970923
2016 08 01 0000  267.676798  2.420778  113.119156  24.970986
2016 08 02 0000  267.668248  2.420694  113.090627  24.971042
2016 08 03 0000  267.659747  2.420605  113.062376  24.971087
2016 08 04 0000  267.651301  2.420510  113.034402  24.971119
2016 08 05 0000  267.642911  2.420409  113.006702  24.971141
2016 08 06 0000  267.634575  2.420302  112.979276  24.971154
2016 08 07 0000  267.626292  2.420189  112.952122  24.971164
2016 08 08 0000  267.618061  2.420070  112.925236  24.971174
2016 08 09 0000  267.609880  2.419945  112.898617  24.971188
2016 08 10 0000  267.601749  2.419815  112.872264  24.971207
2016 08 11 0000  267.593670  2.419679  112.846172  24.971235
2016 08 12 0000  267.585643  2.419537  112.820341  24.971271
2016 08 13 0000  267.577673  2.419390  112.794768  24.971314
2016 08 14 0000  267.569762  2.419237  112.769450  24.971363
2016 08 15 0000  267.561916  2.419078  112.744386  24.971414
2016 08 16 0000  267.554142  2.418914  112.719571  24.971464
2016 08 17 0000  267.546446  2.418744  112.695005  24.971507
2016 08 18 0000  267.538833  2.418569  112.670684  24.971541
2016 08 19 0000  267.531309  2.418389  112.646607  24.971562
2016 08 20 0000  267.523873  2.418203  112.622770  24.971573
2016 08 21 0000  267.516523  2.418012  112.599171  24.971577
2016 08 22 0000  267.509256  2.417816  112.575809  24.971582
2016 08 23 0000  267.502065  2.417615  112.552680  24.971593
2016 08 24 0000  267.494950  2.417410  112.529782  24.971615
2016 08 25 0000  267.487910  2.417199  112.507112  24.971650
2016 08 26 0000  267.480950  2.416983  112.484669  24.971696
2016 08 27 0000  267.474076  2.416762  112.462448  24.971748
2016 08 28 0000  267.467297  2.416537  112.440448  24.971801
2016 08 29 0000  267.460620  2.416307  112.418664  24.971847
2016 08 30 0000  267.454053  2.416073  112.397094  24.971885
2016 08 31 0000  267.447598  2.415833  112.375735  24.971911
2016 09 01 0000  267.441257  2.415590  112.354582  24.971925
2016 09 02 0000  267.435031  2.415342  112.333632  24.971931
2016 09 03 0000  267.428918  2.415089  112.312881  24.971932
2016 09 04 0000  267.422914  2.414832  112.292325  24.971932
2016 09 05 0000  267.417020  2.414571  112.271960  24.971935
2016 09 06 0000  267.411232  2.414306  112.251782  24.971943
2016 09 07 0000  267.405552  2.414037  112.231787  24.971959
2016 09 08 0000  267.399980  2.413764  112.211972  24.971983
2016 09 09 0000  267.394518  2.413486  112.192330  24.972015
2016 09 10 0000  267.389169  2.413205  112.172860  24.972053
2016 09 11 0000  267.383938  2.412921  112.153555  24.972094
2016 09 12 0000  267.378829  2.412632  112.134413  24.972136
2016 09 13 0000  267.373847  2.412340  112.115428  24.972175
2016 09 14 0000  267.368998  2.412045  112.096598  24.972205
2016 09 15 0000  267.364287  2.411746  112.077916  24.972224
2016 09 16 0000  267.359715  2.411444  112.059380  24.972232
2016 09 17 0000  267.355280  2.411138  112.040986  24.972232
2016 09 18 0000  267.350977  2.410830  112.022729  24.972229
2016 09 19 0000  267.346801  2.410519  112.004605  24.972231
2016 09 20 0000  267.342746  2.410205  111.986610  24.972244
2016 09 21 0000  267.338811  2.409888  111.968741  24.972272
2016 09 22 0000  267.334999  2.409569  111.950994  24.972311
2016 09 23 0000  267.331316  2.409247  111.933363  24.972359
2016 09 24 0000  267.327769  2.408922  111.915845  24.972408
